category,question,answer,processed_question,processed_answer
susceptibility,Who is at risk for Lymphocytic Choriomeningitis (LCM)? ?,"LCMV infections can occur after exposure to fresh urine, droppings, saliva, or nesting materials from infected rodents.  Transmission may also occur when these materials are directly introduced into broken skin, the nose, the eyes, or the mouth, or presumably, via the bite of an infected rodent. Person-to-person transmission has not been reported, with the exception of vertical transmission from infected mother to fetus, and rarely, through organ transplantation.",risk lymphocytic choriomeningitis lcm,lcmv infection occur exposure fresh urine droppings saliva nesting material infected rodent transmission may also occur material directly introduced broken skin nose eye mouth presumably via bite infected rodent person person transmission reported exception vertical transmission infected mother fetus rarely organ transplantation
symptoms,What are the symptoms of Lymphocytic Choriomeningitis (LCM) ?,"LCMV is most commonly recognized as causing neurological disease, as its name implies, though infection without symptoms or mild febrile illnesses are more common clinical manifestations. 
                
For infected persons who do become ill, onset of symptoms usually occurs 8-13 days after exposure to the virus as part of a biphasic febrile illness. This initial phase, which may last as long as a week, typically begins with any or all of the following symptoms: fever, malaise, lack of appetite, muscle aches, headache, nausea, and vomiting. Other symptoms appearing less frequently include sore throat, cough, joint pain, chest pain, testicular pain, and parotid (salivary gland) pain. 
                
Following a few days of recovery, a second phase of illness may occur. Symptoms may consist of meningitis (fever, headache, stiff neck, etc.), encephalitis (drowsiness, confusion, sensory disturbances, and/or motor abnormalities, such as paralysis), or meningoencephalitis (inflammation of both the brain and meninges). LCMV has also been known to cause acute hydrocephalus (increased fluid on the brain), which often requires surgical shunting to relieve increased intracranial pressure. In rare instances, infection results in myelitis (inflammation of the spinal cord) and presents with symptoms such as muscle weakness, paralysis, or changes in body sensation. An association between LCMV infection and myocarditis (inflammation of the heart muscles) has been suggested. 
                
Previous observations show that most patients who develop aseptic meningitis or encephalitis due to LCMV survive. No chronic infection has been described in humans, and after the acute phase of illness, the virus is cleared from the body. However, as in all infections of the central nervous system, particularly encephalitis, temporary or permanent neurological damage is possible. Nerve deafness and arthritis have been reported. 
                
Women who become infected with LCMV during pregnancy may pass the infection on to the fetus. Infections occurring during the first trimester may result in fetal death and pregnancy termination, while in the second and third trimesters, birth defects can develop. Infants infected In utero can have many serious and permanent birth defects, including vision problems, mental retardation, and hydrocephaly (water on the brain). Pregnant women may recall a flu-like illness during pregnancy, or may not recall any illness. 
                
LCM is usually not fatal. In general, mortality is less than 1%.",symptom lymphocytic choriomeningitis lcm,lcmv commonly recognized causing neurological disease name implies though infection without symptom mild febrile illness common clinical manifestation infected person become ill onset symptom usually occurs day exposure virus part biphasic febrile illness initial phase may last long week typically begin following symptom fever malaise lack appetite muscle ache headache nausea vomiting symptom appearing less frequently include sore throat cough joint pain chest pain testicular pain parotid salivary gland pain following day recovery second phase illness may occur symptom may consist meningitis fever headache stiff neck etc encephalitis drowsiness confusion sensory disturbance motor abnormality paralysis meningoencephalitis inflammation brain meninges lcmv also known cause acute hydrocephalus increased fluid brain often requires surgical shunting relieve increased intracranial pressure rare instance infection result myelitis inflammation spinal cord present symptom muscle weakness paralysis change body sensation association lcmv infection myocarditis inflammation heart muscle suggested previous observation show patient develop aseptic meningitis encephalitis due lcmv survive chronic infection described human acute phase illness virus cleared body however infection central nervous system particularly encephalitis temporary permanent neurological damage possible nerve deafness arthritis reported woman become infected lcmv pregnancy may pas infection fetus infection occurring first trimester may result fetal death pregnancy termination second third trimester birth defect develop infant infected utero many serious permanent birth defect including vision problem mental retardation hydrocephaly water brain pregnant woman may recall flu like illness pregnancy may recall illness lcm usually fatal general mortality less
susceptibility,Who is at risk for Lymphocytic Choriomeningitis (LCM)? ?,"Individuals of all ages who come into contact with urine, feces, saliva, or blood of wild mice are potentially at risk for infection. Owners of pet mice or hamsters may be at risk for infection if these animals originate from colonies that were contaminated with LCMV, or if their animals are infected from other wild mice. Human fetuses are at risk of acquiring infection vertically from an infected mother. 
                
Laboratory workers who work with the virus or handle infected animals are also at risk. However, this risk can be minimized by utilizing animals from sources that regularly test for the virus, wearing proper protective laboratory gear, and following appropriate safety precautions.",risk lymphocytic choriomeningitis lcm,individual age come contact urine feces saliva blood wild mouse potentially risk infection owner pet mouse hamster may risk infection animal originate colony contaminated lcmv animal infected wild mouse human fetus risk acquiring infection vertically infected mother laboratory worker work virus handle infected animal also risk however risk minimized utilizing animal source regularly test virus wearing proper protective laboratory gear following appropriate safety precaution
exams and tests,How to diagnose Lymphocytic Choriomeningitis (LCM) ?,"During the first phase of the disease, the most common laboratory abnormalities are a low white blood cell count (leukopenia) and a low platelet count (thrombocytopenia). Liver enzymes in the serum may also be mildly elevated. After the onset of neurological disease during the second phase, an increase in protein levels, an increase in the number of white blood cells or a decrease in the glucose levels in the cerebrospinal fluid (CSF) is usually found. 
   
Laboratory diagnosis is usually made by detecting IgM and IgG antibodies in the CSF and serum. Virus can be detected by PCR or virus isolation in the CSF at during the acute stage of illness.",diagnose lymphocytic choriomeningitis lcm,first phase disease common laboratory abnormality low white blood cell count leukopenia low platelet count thrombocytopenia liver enzyme serum may also mildly elevated onset neurological disease second phase increase protein level increase number white blood cell decrease glucose level cerebrospinal fluid csf usually found laboratory diagnosis usually made detecting igm igg antibody csf serum virus detected pcr virus isolation csf acute stage illness
treatment,What are the treatments for Lymphocytic Choriomeningitis (LCM) ?,"Aseptic meningitis, encephalitis, or meningoencephalitis requires hospitalization and supportive treatment based on severity. Anti-inflammatory drugs, such as corticosteroids, may be considered under specific circumstances. Although studies have shown that ribavirin, a drug used to treat several other viral diseases, is effective against LCMV in vitro, there is no established evidence to support its routine use for treatment of LCM in humans.",treatment lymphocytic choriomeningitis lcm,aseptic meningitis encephalitis meningoencephalitis requires hospitalization supportive treatment based severity anti inflammatory drug corticosteroid may considered specific circumstance although study shown ribavirin drug used treat several viral disease effective lcmv vitro established evidence support routine use treatment lcm human
prevention,How to prevent Lymphocytic Choriomeningitis (LCM) ?,"LCMV infection can be prevented by avoiding contact with wild mice and taking precautions when handling pet rodents (i.e. mice, hamsters, or guinea pigs). 
                
Rarely, pet rodents may become infected with LCMV from wild rodents. Breeders, pet stores, and pet owners should take measures to prevent infestations of wild rodents. Pet rodents should not come into contact with wild rodents. If you have a pet rodent, wash your hands with soap and water (or waterless alcohol-based hand rubs when soap is not available and hands are not visibly soiled) after handling rodents or their cages and bedding. 
                
If you have a rodent infestation in and around your home, take the following precautions to reduce the risk of LCMV infection: 
 
 - Seal up rodent entry holes or gaps with steel wool, lath metal, or caulk. 
 - Trap rats and mice by using an appropriate snap trap. 
 - Clean up rodent food sources and nesting sites and take precautions when cleaning rodent-infected areas: 
   
   - Use cross-ventilation when entering a previously unventilated enclosed room or dwelling prior to cleanup. 
   - Put on rubber, latex, vinyl or nitrile gloves. 
   - Do not stir up dust by vacuuming, sweeping, or any other means. 
   - Thoroughly wet contaminated areas with a bleach solution or household disinfectant. 
   - Hypochlorite (bleach) solution: Mix 1 and 1/2 cups of household bleach in 1 gallon of water. 
   - Once everything is wet, take up contaminated materials with damp towel and then mop or sponge the area with bleach solution or household disinfectant. 
   - Spray dead rodents with disinfectant and then double-bag along with all cleaning materials and throw bag out in an appropriate waste disposal system. 
   - Remove the gloves and thoroughly wash your hands with soap and water (or waterless alcohol-based hand rubs when soap is not available and hands are not visibly soiled). 
    
 
                
The geographic distributions of the rodent hosts are widespread both domestically and abroad. However, infrequent recognition and diagnosis, and historic underreporting of LCM, have limited scientists' ability to estimate incidence rates and prevalence of disease among humans. Understanding the epidemiology of LCM and LCMV infections will help to further delineate risk factors for infection and develop effective preventive strategies. Increasing physician awareness will improve disease recognition and reporting, which may lead to better characterization of the natural history and the underlying immunopathological mechanisms of disease, and stimulate future therapeutic research and development.",prevent lymphocytic choriomeningitis lcm,lcmv infection prevented avoiding contact wild mouse taking precaution handling pet rodent mouse hamster guinea pig rarely pet rodent may become infected lcmv wild rodent breeder pet store pet owner take measure prevent infestation wild rodent pet rodent come contact wild rodent pet rodent wash hand soap water waterless alcohol based hand rub soap available hand visibly soiled handling rodent cage bedding rodent infestation around home take following precaution reduce risk lcmv infection seal rodent entry hole gap steel wool lath metal caulk trap rat mouse using appropriate snap trap clean rodent food source nesting site take precaution cleaning rodent infected area use cross ventilation entering previously unventilated enclosed room dwelling prior cleanup put rubber latex vinyl nitrile glove stir dust vacuuming sweeping mean thoroughly wet contaminated area bleach solution household disinfectant hypochlorite bleach solution mix cup household bleach gallon water everything wet take contaminated material damp towel mop sponge area bleach solution household disinfectant spray dead rodent disinfectant double bag along cleaning material throw bag appropriate waste disposal system remove glove thoroughly wash hand soap water waterless alcohol based hand rub soap available hand visibly soiled geographic distribution rodent host widespread domestically abroad however infrequent recognition diagnosis historic underreporting lcm limited scientist ability estimate incidence rate prevalence disease among human understanding epidemiology lcm lcmv infection help delineate risk factor infection develop effective preventive strategy increasing physician awareness improve disease recognition reporting may lead better characterization natural history underlying immunopathological mechanism disease stimulate future therapeutic research development
information,What is (are) Parasites - Cysticercosis ?,"Cysticercosis is an infection caused by the larvae of the parasite Taenia solium.  This infection occurs after a person swallows tapeworm eggs. The larvae get into tissues such as muscle and brain, and form cysts there (these are called cysticerci). When cysts are found in the brain, the condition is called neurocysticercosis.",parasite cysticercosis,cysticercosis infection caused larva parasite taenia solium infection occurs person swallow tapeworm egg larva get tissue muscle brain form cyst called cysticerci cyst found brain condition called neurocysticercosis
susceptibility,Who is at risk for Parasites - Cysticercosis? ?,"Cysticercosis is an infection caused by the larvae of the tapeworm, Taenia solium. A person with an adult tapeworm, which lives in the person’s gut, sheds eggs in the stool.  The infection with the adult tapeworm is called taeniasis.  A pig then eats the eggs in the stool.  The eggs develop into larvae inside the pig and form cysts (called cysticerci) in the pig's muscles or other tissues. The infection with the cysts is called cysticercosis. Humans who eat undercooked or raw infected pork swallow the cysts in the meat. The larvae then come out of their cysts in the human gut and develop into adult tapeworms, completing the cycle.
    
People get cysticercosis when they swallow eggs that are excreted in the stool of people with the adult tapeworm. This may happen when people
    
     - Drink water or eat food contaminated with tapeworm eggs
     - Put contaminated fingers in their mouth
    
    
Cysticercosis is not spread by eating undercooked meat. However, people get infected with tapeworms (taeniasis) by eating undercooked infected pork. People who have tapeworm infections can infect themselves with the eggs and develop cysticercosis (this is called autoinfection). They can also infect other people if they have poor hygiene and contaminate food or water that other people swallow. People who live with someone who has a tapeworm infection in their intestines have a much higher risk of getting cysticercosis than other people.
    
Human cysticercosis is found worldwide, especially in areas where pig cysticercosis is common. Both taeniasis and cysticercosis are most often found in rural areas of developing countries with poor sanitation, where pigs roam freely and eat human feces. Taeniasis and cysticercosis are rare among persons who live in countries where pigs are not raised and in countries where pigs do not have contact with human feces. Although uncommon, cysticercosis can occur in people who have never traveled outside of the United States if they are exposed to tapeworm eggs.
    
More on: Taeniasis",risk parasite cysticercosis,cysticercosis infection caused larva tapeworm taenia solium person adult tapeworm life person gut shed egg stool infection adult tapeworm called taeniasis pig eats egg stool egg develop larva inside pig form cyst called cysticerci pig muscle tissue infection cyst called cysticercosis human eat undercooked raw infected pork swallow cyst meat larva come cyst human gut develop adult tapeworm completing cycle people get cysticercosis swallow egg excreted stool people adult tapeworm may happen people drink water eat food contaminated tapeworm egg put contaminated finger mouth cysticercosis spread eating undercooked meat however people get infected tapeworm taeniasis eating undercooked infected pork people tapeworm infection infect egg develop cysticercosis called autoinfection also infect people poor hygiene contaminate food water people swallow people live someone tapeworm infection intestine much higher risk getting cysticercosis people human cysticercosis found worldwide especially area pig cysticercosis common taeniasis cysticercosis often found rural area developing country poor sanitation pig roam freely eat human feces taeniasis cysticercosis rare among person live country pig raised country pig contact human feces although uncommon cysticercosis occur people never traveled outside united state exposed tapeworm egg taeniasis
exams and tests,How to diagnose Parasites - Cysticercosis ?,"If you think that you may have cysticercosis, please see your health care provider. Your health care provider will ask you about your symptoms, where you have travelled, and what kinds of foods you eat. The diagnosis of neurocysticercosis usually requires MRI or CT brain scans. Blood tests may be useful to help diagnose an infection, but they may not always be positive in light infections.
  
If you have been diagnosed with cysticercosis, you and your family members should be tested for intestinal tapeworm infection. See the taeniasis section for more information on intestinal tapeworm infections.  
  
More on: Taeniasis
  
More on: Resources for Health Professionals: Diagnosis",diagnose parasite cysticercosis,think may cysticercosis please see health care provider health care provider ask symptom travelled kind food eat diagnosis neurocysticercosis usually requires mri brain scan blood test may useful help diagnose infection may always positive light infection diagnosed cysticercosis family member tested intestinal tapeworm infection see taeniasis section information intestinal tapeworm infection taeniasis resource health professional diagnosis
treatment,What are the treatments for Parasites - Cysticercosis ?,"Some people with cysticercosis do not need to be treated. There are medications available to treat cysticercosis for those who do need treatment. Sometimes surgery may be needed. Your doctor will advise you on which treatment is best for you.
    
More on: Resources for Health Professionals: Treatment
    
More on: Taeniasis",treatment parasite cysticercosis,people cysticercosis need treated medication available treat cysticercosis need treatment sometimes surgery may needed doctor advise treatment best resource health professional treatment taeniasis
